0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '08,--,1175.80,,--,--,--,--,488.71,62.42,--,152.96,--,--,--,244.70,227.01,49.86,276.87,2.56,274.31,--,274.31,20.52,253.79,--,--,253.79,133.74,2895.98,--,,--,--,,--,--,,21.86,32.70,,,--,--,--,,--,--,--
Dec '08,--,1304.85,,--,--,--,--,509.12,60.65,--,142.34,--,--,--,236.35,356.39,125.61,482.00,3.30,478.70,--,478.70,80.69,398.01,--,--,398.01,133.93,3077.95,--,,--,--,,--,--,,21.72,32.43,,,--,--,--,,--,--,--
Mar '09,--,1048.90,,--,--,--,--,459.66,62.40,--,159.95,--,--,--,225.02,141.87,44.17,186.04,1.90,184.14,--,184.14,31.57,152.57,--,--,152.57,133.95,2914.42,--,,--,--,,--,--,,21.30,31.80,,,--,--,--,,--,--,--
Jun '09,--,1145.54,,--,--,--,--,472.73,66.42,--,--,--,--,--,375.46,230.93,46.17,277.10,20.33,256.77,--,256.77,63.83,192.94,--,--,192.94,134.05,3353.72,--,,--,--,,--,--,,21.34,31.85,,,--,--,--,,--,--,--
Sep '09,--,1247.32,,--,--,--,--,496.72,68.45,--,--,--,--,--,369.69,312.46,47.87,360.33,15.23,345.10,--,345.10,44.35,300.75,--,--,300.75,134.25,3645.72,--,,--,--,,--,--,,21.11,31.46,,,--,--,--,,--,--,--
Dec '09,--,1213.71,,--,--,--,--,478.92,67.40,--,--,--,--,--,407.54,259.85,45.51,305.36,36.07,269.29,--,269.29,13.85,255.44,--,--,255.44,134.70,4104.68,--,,--,--,,--,--,,21.34,31.68,,,--,--,--,,--,--,--
Mar '10,--,1287.11,,--,--,--,--,592.13,64.73,--,132.76,--,--,--,218.21,279.28,34.06,313.34,24.61,288.73,--,288.73,26.16,262.57,--,--,262.57,135.22,4502.74,--,,--,--,,--,--,,21.60,31.95,,,--,--,--,,--,--,--
Jun '10,--,1330.61,,--,--,--,--,619.88,73.43,--,--,--,--,--,397.76,239.54,35.61,275.15,25.45,249.70,--,249.70,11.88,237.82,--,--,237.82,135.76,4798.09,--,,3.51,3.43,,3.51,3.43,,23.54,34.68,,,--,--,--,,44.34,100.00,65.32
Sep '10,--,1498.32,,--,--,--,--,766.82,73.43,--,--,--,--,--,453.18,204.89,42.02,246.91,26.29,220.62,--,220.62,25.74,194.88,--,--,194.88,136.00,4949.04,--,,2.87,2.81,,2.87,2.81,,23.67,34.80,,,--,--,--,,44.33,100.00,65.20
Dec '10,--,1649.06,,--,--,--,--,830.23,72.15,--,--,--,--,--,451.11,295.57,38.53,334.10,25.41,308.69,--,308.69,22.72,285.97,--,--,285.97,136.81,5195.10,--,,4.19,4.10,,4.19,4.10,,24.07,35.19,,,--,--,--,,44.33,100.00,64.81
Mar '11,--,1697.73,,--,--,--,--,830.92,69.54,--,--,--,--,--,498.58,298.69,37.86,336.55,24.51,312.04,--,312.04,52.02,260.02,71.79,--,331.81,137.15,5432.64,--,,4.84,4.74,,4.84,4.74,,24.24,35.35,,,--,--,--,,44.33,100.00,64.65
Jun '11,--,1949.36,,--,--,--,--,831.12,76.25,--,--,--,--,--,615.41,426.58,47.12,473.70,25.19,448.51,--,448.51,62.92,385.59,--,--,385.59,137.74,5720.41,--,,5.61,5.50,,5.61,5.50,,24.53,35.63,,,--,--,--,,44.33,100.00,64.37
Sep '11,--,1979.22,,--,--,--,--,931.22,82.08,--,--,--,--,--,516.95,448.97,49.55,498.52,22.29,476.23,--,476.23,78.68,397.55,--,--,397.55,137.96,5747.44,--,,5.77,5.66,,5.77,5.66,,24.65,35.73,,,--,--,--,,44.33,100.00,64.27
