0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Dec '16,87.25,2675.00,,726.18,267.97,-35.69,--,420.59,134.91,--,--,--,--,--,763.97,397.07,44.68,441.75,15.31,426.44,--,426.44,85.21,341.23,--,--,341.23,160.88,--,--,,4.25,4.24,,4.25,4.24,,--,--,,,--,--,--,,--,--,--
Mar '17,86.66,2695.17,,801.16,316.72,-135.44,--,394.44,125.17,--,--,--,--,--,1135.54,57.58,30.57,88.15,4.02,84.13,--,84.13,58.27,25.86,--,--,25.86,160.90,--,--,,0.32,0.32,,0.32,0.32,,--,--,,,--,--,--,,--,--,--
Jun '17,79.09,2684.25,,746.08,271.48,-40.70,--,443.09,126.22,--,--,--,--,--,846.91,291.17,50.64,341.81,0.76,341.05,--,341.05,82.04,259.01,--,--,259.01,160.91,--,--,,3.22,3.21,,3.22,3.21,,--,--,,,--,--,--,,--,--,--
Sep '17,89.33,3065.27,,886.26,277.17,-23.81,--,443.58,132.54,--,--,--,--,--,806.66,542.87,180.42,723.29,5.17,718.12,--,718.12,151.96,566.16,--,--,566.16,160.94,--,--,,7.03,7.02,,7.03,7.02,,--,--,,,--,--,--,,--,--,--
Dec '17,77.51,2969.95,,908.78,245.85,-112.07,--,436.00,137.88,--,--,--,--,--,811.99,541.52,40.94,582.46,1.90,580.56,--,580.56,162.02,418.54,--,--,418.54,160.99,--,--,,5.20,5.19,,5.20,5.19,,--,--,,,--,--,--,,--,--,--
Mar '18,194.44,2725.34,,762.19,269.73,-35.47,--,463.27,132.97,--,--,--,--,--,842.27,290.38,62.88,353.26,4.07,349.19,-77.52,271.67,46.86,224.81,--,--,224.81,161.02,--,--,,2.79,2.79,,2.79,2.79,,--,--,,,--,--,--,,--,--,--
Jun '18,84.90,2987.57,,765.70,287.61,100.25,--,458.06,135.48,--,--,--,--,--,819.27,421.20,106.07,527.27,2.34,524.93,--,524.93,134.38,390.55,--,--,390.55,161.04,--,--,,4.85,4.84,,4.85,4.84,,--,--,,,--,--,--,,--,--,--
Sep '18,59.09,3094.71,,764.56,337.66,58.43,--,456.02,141.04,--,--,--,--,--,905.98,431.02,300.11,731.13,7.70,723.43,--,723.43,154.96,568.47,--,--,568.47,161.05,--,--,,7.06,7.05,,7.06,7.05,,--,--,,,--,--,--,,--,--,--
Dec '18,81.12,2835.20,,771.48,348.19,-94.64,--,466.90,148.58,--,--,--,--,--,857.19,337.50,76.95,414.45,2.94,411.51,--,411.51,116.19,295.32,--,--,295.32,161.13,--,--,,3.67,3.66,,3.67,3.66,,--,--,,,--,--,--,,--,--,--
Mar '19,180.46,3456.53,,810.51,285.75,72.66,--,458.86,144.62,--,--,--,--,--,941.57,742.56,94.39,836.95,3.99,832.96,--,832.96,198.89,634.07,--,--,634.07,161.14,--,--,,7.87,7.86,,7.87,7.86,,--,--,,,--,--,--,,--,--,--
Jun '19,103.12,3229.33,,767.89,328.02,-206.16,--,480.15,145.29,--,--,--,--,--,821.83,892.31,93.41,985.72,7.39,978.33,--,978.33,284.33,694.00,--,--,694.00,161.17,--,--,,8.61,8.60,,8.61,8.60,,--,--,,,--,--,--,,--,--,--
Sep '19,140.10,3370.18,,769.62,320.06,35.04,--,479.54,150.93,--,--,--,--,--,997.97,617.02,312.75,929.77,9.87,919.90,--,919.90,182.52,737.38,--,--,737.38,161.22,--,--,,9.15,9.14,,9.15,9.14,,--,--,,,--,--,--,,--,--,--
