0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Dec '21,12679.03,3766.78,418.06,397.25,3840.36,,8608.59,1938.61,4392.75,--,6161.53,1334.83,--,4826.70,1212.46,3614.24,--,--,3614.24,613.53,--,--,,--,--,--,,11.78,11.75,,11.78,11.75,,23301.19,6513.05,3.17,0.91,1.30,,--,--,,,--,--,--,,--,--,--,202112
Mar '22,13069.35,3902.30,444.84,359.75,4223.34,,8957.12,1886.53,4689.95,--,6465.98,987.23,--,5478.75,1360.98,4117.77,--,--,4117.77,613.95,--,--,,--,--,--,,13.42,13.38,,13.42,13.38,,21822.32,5512.16,2.82,0.73,1.46,,--,--,,,--,--,--,,--,--,--,202203
Jun '22,13893.01,4281.45,192.97,362.22,2998.96,,9344.64,2186.09,4309.88,--,5888.00,359.36,--,5528.64,1402.38,4126.26,--,--,4126.26,614.29,--,--,,--,--,--,,13.43,13.40,,13.43,13.40,,21036.77,4780.62,2.76,0.64,1.44,,--,--,,,--,--,--,,--,--,--,202206
Sep '22,15257.39,4477.47,142.01,362.06,3941.15,,9878.67,2166.65,4418.55,--,7716.21,549.78,--,7166.43,1836.66,5329.77,--,--,5329.77,614.46,--,--,,--,--,--,,17.35,17.23,,17.35,17.23,,19893.73,3995.54,2.50,0.51,1.80,,--,--,,,--,--,--,,--,--,--,202209
Dec '22,17091.00,4584.91,202.72,347.80,4665.44,,10767.11,2281.05,4566.22,--,9277.49,1437.73,--,7839.76,1986.69,5853.07,--,--,5853.07,614.99,--,--,,--,--,--,,19.04,18.80,,19.04,18.80,,19961.02,3830.10,2.38,0.47,1.92,,--,--,,,--,--,--,,--,--,--,202212
Mar '23,18312.41,4834.90,361.31,461.14,4895.32,,12227.60,2163.62,5306.25,--,9167.61,305.77,-12489.82,-3627.98,2100.44,-5728.42,--,--,-5728.42,615.37,--,--,,--,--,--,,-18.62,-18.62,,-18.62,-18.62,,18604.23,3558.92,2.02,0.39,-1.83,,--,--,,,--,--,--,,--,--,--,202303
Jun '23,20134.68,4783.04,299.11,339.94,5087.27,,13598.00,2688.48,5543.20,--,8814.36,1034.88,--,7779.48,1982.38,5797.10,--,--,5797.10,615.95,--,--,,--,--,--,,18.83,18.75,,18.83,18.75,,18158.23,3703.56,1.96,0.41,1.80,,--,--,,,--,--,--,,--,--,--,202306
Sep '23,21256.31,4799.81,206.20,363.86,5034.08,,14311.62,2609.76,6107.02,--,8631.86,814.56,--,7817.30,1953.74,5863.56,--,--,5863.56,616.35,--,--,,--,--,--,,19.03,18.92,,19.03,18.92,,16756.74,3441.25,1.73,0.36,1.76,,--,--,,,--,--,--,,--,--,--,202309
Dec '23,22364.46,5089.40,146.48,360.80,5554.82,,15428.99,2711.33,6234.40,--,9141.24,1028.34,--,8112.90,2041.80,6071.10,--,--,6071.10,616.80,--,--,,--,--,--,,19.69,19.57,,19.69,19.57,,15893.01,3526.87,1.58,0.36,1.75,,--,--,,,--,--,--,,--,--,--,202312
Mar '24,23351.15,5338.37,256.48,278.54,6765.79,,16135.54,2923.54,6395.55,--,10535.70,1185.31,--,9350.39,2220.72,7129.67,--,--,7129.67,617.31,--,--,,--,--,--,,23.11,22.96,,23.11,22.96,,15127.12,3247.47,1.43,0.31,2.00,,--,--,,,--,--,--,,--,--,--,202403
Jun '24,23718.80,5580.83,295.33,465.77,5783.49,,16612.50,3129.45,5996.03,--,10106.24,2039.28,--,8066.96,2032.32,6034.64,--,--,6034.64,618.05,--,--,,--,--,--,,19.54,19.40,,19.54,19.40,,16211.34,3552.98,1.54,0.34,1.65,,--,--,,,--,--,--,,--,--,--,202406
