0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '10,--,295.64,,--,--,--,--,32.87,2.07,--,17.28,--,60.58,--,40.58,142.26,1.10,143.36,72.74,70.62,--,70.62,23.84,46.78,--,--,46.78,36.60,--,--,,--,--,,--,--,,1.81,49.48,,,--,--,--,,--,--,--
Sep '10,--,320.32,,--,--,--,--,33.43,2.94,--,20.35,--,61.48,--,46.64,155.48,6.12,161.60,83.29,78.31,--,78.31,25.54,52.77,--,--,52.77,36.60,--,--,,--,--,,--,--,,1.64,44.81,,,--,--,--,,--,--,--
Dec '10,--,387.12,,--,--,--,--,35.38,3.13,--,31.56,--,44.90,--,54.83,217.32,1.27,218.59,103.56,115.03,--,115.03,38.64,76.39,--,--,76.39,36.63,--,--,,20.87,20.87,,20.87,20.87,,1.63,44.49,,,--,--,--,,2.03,100.00,55.51
Mar '11,--,389.25,,--,--,--,--,43.04,3.72,--,33.37,--,37.65,--,52.46,219.01,5.31,224.32,118.36,105.96,--,105.96,35.27,70.69,--,0.33,71.02,36.63,--,--,,19.40,19.40,,19.40,19.40,,1.61,43.93,,,--,--,--,,2.05,100.00,58.07
Jun '11,33.32,449.67,,--,--,--,--,44.31,2.75,--,--,--,34.21,--,93.47,274.93,2.08,277.01,142.38,134.63,--,134.63,43.82,90.81,--,--,90.81,36.63,--,--,,24.79,24.79,,24.79,24.79,,1.61,43.93,,,--,--,--,,2.05,100.00,56.07
Sep '11,40.34,491.68,,--,--,--,--,47.14,3.40,--,--,--,--,--,146.56,294.58,1.62,296.20,167.32,128.88,--,128.88,41.51,87.37,--,--,87.37,36.63,--,--,,23.85,21.39,,23.85,21.39,,1.61,43.93,,,--,--,--,,2.05,100.00,56.07
Dec '11,48.05,602.77,,--,--,--,--,50.00,3.98,--,47.01,--,35.80,--,82.09,383.89,0.79,384.68,207.21,177.47,--,177.47,57.48,119.99,--,--,119.99,36.63,--,--,,32.76,32.62,,32.76,32.62,,1.61,43.93,,,--,--,--,,2.05,100.00,56.07
Mar '12,45.05,618.90,,--,--,--,--,48.90,3.47,--,--,--,--,--,175.69,390.84,4.40,395.24,234.00,161.24,--,161.24,52.97,108.27,--,--,108.27,41.32,--,--,,29.43,29.26,,29.43,29.26,,1.61,43.93,,,--,--,--,,2.52,100.00,61.06
Jun '12,34.28,701.27,,--,--,--,--,57.55,3.10,--,--,--,--,--,172.41,468.21,1.75,469.96,263.62,206.34,--,206.34,67.65,138.69,--,--,138.69,41.32,--,--,,33.57,33.20,,33.57,33.20,,1.61,38.94,,,--,--,--,,2.52,100.00,61.06
Sep '12,49.69,735.52,,--,--,--,--,59.22,3.21,--,--,--,--,--,189.20,483.89,1.14,485.03,294.74,190.29,--,190.29,61.57,128.72,--,--,128.72,41.39,--,--,,31.12,30.61,,31.12,30.61,,1.62,39.05,,,--,--,--,,2.52,100.00,60.95
Dec '12,33.00,824.68,,--,--,--,--,63.35,3.58,--,--,--,--,--,203.84,553.91,3.55,557.46,320.86,236.60,--,236.60,76.51,160.09,--,--,160.09,42.81,--,--,,38.44,38.15,,38.44,38.15,,1.63,38.02,,,--,--,--,,2.65,100.00,61.98
Mar '13,51.96,832.25,,--,--,--,--,65.03,5.25,--,--,--,--,--,208.35,553.62,11.21,564.83,326.46,238.37,--,238.37,74.56,163.81,--,--,163.81,49.78,--,--,,35.35,35.11,,35.35,35.11,,1.69,37.93,,,--,--,--,,3.09,100.00,62.07
Jun '13,44.62,928.32,,--,--,--,--,77.92,3.90,--,--,--,--,--,252.31,594.19,4.11,598.30,331.44,266.86,--,266.86,91.12,175.74,--,--,175.74,49.78,--,--,,35.30,35.07,,35.30,35.07,,1.89,37.93,,,--,--,--,,3.09,100.00,62.07
Sep '13,87.45,961.65,,--,--,--,--,80.84,4.95,--,--,--,--,--,243.41,632.45,2.33,634.78,382.08,252.70,--,252.70,85.66,167.04,--,--,167.04,49.78,--,--,,33.56,33.35,,33.56,33.35,,1.89,37.93,,,--,--,--,,3.09,100.00,62.07
Dec '13,42.90,1070.32,,--,--,--,--,89.16,6.15,--,--,--,--,--,282.07,692.94,11.58,704.52,409.67,294.85,--,294.85,100.71,194.14,--,--,194.14,49.78,--,--,,39.00,38.76,,39.00,38.76,,1.89,37.93,,,--,--,--,,3.09,100.00,62.07
Mar '14,67.90,1071.13,,--,--,--,--,92.89,14.19,--,--,--,--,--,261.14,702.91,23.89,726.80,450.05,276.75,--,276.75,94.66,182.09,--,--,182.09,50.14,--,--,,36.61,36.32,,36.61,36.32,,1.92,38.39,,,--,--,--,,3.09,100.00,61.61
Jun '14,63.51,1243.61,,--,--,--,--,107.81,7.77,--,--,--,--,--,310.14,817.89,2.35,820.24,499.64,320.60,--,320.60,109.24,211.36,--,--,211.36,50.14,--,--,,42.46,42.10,,42.46,42.10,,1.92,38.39,,,--,--,--,,3.09,100.00,61.61
Sep '14,61.96,1232.21,,--,--,--,--,105.93,8.40,--,--,--,--,--,284.31,833.57,9.62,843.19,544.46,298.73,--,298.73,101.58,197.15,--,--,197.15,50.14,--,--,,39.52,39.16,,39.52,39.16,,1.92,38.39,,,--,--,--,,3.09,100.00,61.61
Dec '14,60.12,1476.55,,--,--,--,--,119.79,9.89,--,--,--,--,--,370.26,976.61,8.84,985.45,592.39,393.06,--,393.06,134.68,258.38,--,--,258.38,50.15,--,--,,51.73,51.20,,51.73,51.20,,1.93,38.39,,,--,--,--,,3.09,100.00,61.61
Mar '15,76.24,1429.43,,--,--,--,--,117.20,9.54,--,--,--,--,--,361.95,940.74,15.62,956.36,611.81,344.55,--,344.55,113.57,230.98,--,--,230.98,50.15,--,--,,46.28,44.03,,46.28,44.03,,1.93,38.39,,,--,--,--,,3.09,100.00,61.61
Jun '15,74.57,1646.21,,--,--,--,--,144.59,11.50,--,--,--,--,--,400.26,1089.86,9.63,1099.49,677.06,422.43,--,422.43,146.80,275.63,--,--,275.63,53.63,--,--,,54.34,53.60,,54.34,53.60,,2.27,42.40,,,--,--,--,,3.09,100.00,57.60
Sep '15,87.84,1679.93,,--,--,--,--,149.84,12.61,--,--,--,--,--,415.49,1101.99,20.64,1122.63,694.67,427.96,--,427.96,148.57,279.39,--,--,279.39,53.63,--,--,,52.37,51.68,,52.37,51.68,,2.27,42.40,,,--,--,--,,3.09,100.00,57.60
Mar '17,204.29,2665.02,,--,--,--,--,264.37,19.71,--,--,--,--,--,715.46,1665.48,7.91,1673.39,983.69,689.70,--,689.70,240.55,449.15,--,--,449.15,109.98,--,--,,8.22,8.13,,8.22,8.13,,--,--,,,--,--,--,,--,--,--
Jun '17,--,3150.47,,--,--,--,--,308.19,21.88,--,--,--,--,--,831.06,1989.34,14.04,2003.38,1077.95,925.43,--,925.43,323.39,602.04,--,--,602.04,109.98,--,--,,11.00,10.97,,11.00,10.97,,--,--,,,--,--,--,,--,--,--
Sep '17,--,3086.24,,--,--,--,--,336.16,24.07,--,--,--,--,--,742.83,1983.18,16.09,1999.27,1143.76,855.51,--,855.51,298.61,556.90,--,--,556.90,114.95,--,--,,10.06,9.95,,10.06,9.95,,--,--,,,--,--,--,,--,--,--
Dec '17,--,3540.63,,--,--,--,--,369.52,26.76,--,--,--,--,--,799.91,2344.44,2.66,2347.10,1170.88,1176.22,--,1176.22,409.41,766.81,--,--,766.81,114.98,--,--,,13.34,13.21,,13.34,13.21,,--,--,,,--,--,--,,--,--,--
Mar '18,--,3534.76,,--,--,--,--,387.54,29.25,--,--,--,--,--,849.11,2268.86,22.47,2291.33,1192.13,1099.20,--,1099.20,378.25,720.95,--,--,720.95,115.03,--,--,,12.54,12.42,,12.54,12.42,,--,--,,,--,--,--,,--,--,--
Jun '18,--,3791.34,,--,--,--,--,391.67,28.70,--,--,--,321.05,--,464.23,2585.69,4.85,2590.54,1294.17,1296.37,--,1296.37,462.64,833.73,--,--,833.73,115.59,--,--,,14.49,14.37,,14.49,14.37,,--,--,,,--,--,--,,--,--,--
Sep '18,--,4045.35,,--,--,--,--,403.81,31.85,--,--,--,--,--,800.90,2808.79,48.04,2856.83,1428.19,1428.64,--,1428.64,508.36,920.28,--,--,920.28,115.29,--,--,,15.97,15.84,,15.97,15.84,,--,--,,,--,--,--,,--,--,--
