0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '07,--,891.20,,518.87,--,-21.48,--,49.01,10.75,--,--,--,--,--,193.64,140.41,25.71,166.12,2.55,163.57,--,163.57,53.61,109.96,-1.52,--,108.44,95.92,--,--,,--,--,,--,--,,4.90,51.05,,,--,--,--,,--,--,--
Dec '07,--,916.24,,471.04,--,44.20,--,49.41,11.19,--,--,--,--,--,197.45,142.95,16.89,159.84,2.69,157.15,--,157.15,51.52,105.63,2.06,--,107.69,95.92,--,--,,--,--,,--,--,,4.85,50.53,,,--,--,--,,--,--,--
Mar '08,--,868.51,,501.96,--,-20.81,--,50.08,11.40,--,--,--,--,--,204.83,121.05,11.20,132.25,1.28,130.97,--,130.97,42.90,88.07,3.23,--,91.30,95.92,--,--,,--,--,,--,--,,4.85,50.53,,,--,--,--,,--,--,--
Jun '08,--,995.24,,571.64,--,5.54,--,55.71,11.60,--,--,--,--,--,218.67,132.08,15.95,148.03,2.26,145.77,--,145.77,47.22,98.55,-0.55,--,98.00,95.92,--,--,,--,--,,--,--,,4.85,50.51,,,--,--,--,,--,--,--
Sep '08,--,1168.34,,794.12,--,-111.34,--,61.28,14.43,--,--,--,--,--,244.48,165.37,17.67,183.04,3.00,180.04,--,180.04,59.29,120.75,0.96,--,121.71,95.92,--,--,,--,--,,--,--,,4.78,49.85,,,--,--,--,,--,--,--
Dec '08,--,1006.40,,638.31,--,-17.94,--,59.76,15.78,--,--,--,--,--,246.75,63.74,17.36,81.10,2.56,78.54,--,78.54,28.55,49.99,0.12,--,50.11,95.92,--,--,,--,--,,--,--,,4.80,50.01,,,--,--,--,,--,--,--
Mar '09,--,1100.07,,544.35,--,106.17,--,62.15,15.34,--,--,--,--,--,229.13,142.93,9.08,152.01,2.58,149.43,--,149.43,50.91,98.52,-0.08,-5.90,92.54,95.92,--,--,,--,--,,--,--,,4.80,50.02,,,--,--,--,,--,--,--
Jun '09,--,1164.82,,659.39,--,-52.73,--,69.05,14.96,--,--,--,--,--,244.97,229.18,16.22,245.40,2.85,242.55,--,242.55,82.59,159.96,4.49,--,164.45,95.92,--,--,,--,--,,--,--,,4.80,50.02,,,--,--,--,,--,--,--
Sep '09,--,1386.46,,772.56,--,-25.94,--,61.51,15.20,--,--,--,--,--,300.65,262.48,86.45,348.93,2.54,346.39,--,346.39,97.84,248.55,--,5.77,254.32,95.92,--,--,,--,--,,--,--,,4.80,50.05,,,--,--,--,,--,--,--
Dec '09,--,1277.71,,704.06,--,-11.95,--,63.22,14.83,--,--,--,--,--,262.34,245.21,22.07,267.28,4.38,262.90,--,262.90,84.08,178.82,-0.13,--,178.69,95.92,--,--,,--,--,,--,--,,4.80,50.02,,,--,--,--,,--,--,--
